combined_fips,total_votes_2016,Clinton,FIPS,total_votes_2012,county_fips,state_fips,fips_x,population2014,population2010,population_change,population_2010,kids_percent_2014,teenagers_percent_2014,age65plus,female,Black,native,asian,hawaii,biracial,Hispanic,stable_house,foreign_born,NonEnglish,Edu_highschool,Edu_batchelors,veteran,commute,housing_units,homeownership,housing_units_multi,house_value,house_number,house_persons,Income,house_income,Poverty,private_establishments,private_employment,employment_change,nonemployer_establishments,firms_owned,firms_owned_black,firms_owned_native,firms_owned_asian,firms_owned_hawaii,firms_owned_hispanic,firms_owned_female,manufacturers_shipments,merchant_sales,retail_sales,retail_sales_per_capita,hotel_food_sales,building_permits,land_area,Density,Trump_Romney,fips_y,lat,lng
42049,117240,0.0,42049,112732,42049,42,42049,278443,280566,-0.8,280566,5.8,21.8,15.8,50.7,0.076,0.3,1.4,0.0,2.2,0.038,85.2,4.0,6.5,89.9,24.8,21569,18.6,119816,67.5,24.6,115100,109675,2.44,24189,45202,16.9,6229,113617,-2.0,13801,19610,3.2,0.3,0.0,0.0,1.2,23.5,6890810,1157206,3428421,12253,428110,321,799.15,351.1,0.0786629431834075,42049,42.9023958,-78.8661589
42051,53426,0.0,42051,48196,42051,42,42051,134086,136607,-1.8,136606,5.0,19.5,19.4,50.7,0.048,0.2,0.4,0.0,1.5,0.011000000000000001,90.9,0.9,2.6,85.4,14.0,12097,25.2,62878,72.8,12.8,84200,54363,2.42,20884,39115,18.4,2679,35252,-2.8,6146,8796,1.5,0.0,0.0,0.0,0.0,23.5,1161382,528140,1535518,10661,246895,193,790.34,172.8,0.10740882518060699,42051,33.4502206,-84.4802606
42053,2398,0.0,42053,2308,42053,42,42053,7518,7716,-2.6,7716,1.5,7.4,21.3,32.9,0.19,0.5,0.2,0.0,0.9,0.059000000000000004,85.8,1.0,5.9,81.6,7.8,1008,26.7,8675,83.1,1.7,83600,2001,2.37,13646,36556,16.3,101,1068,-8.4,310,389,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19250,2779,8362,4,427.19,18.1,0.10223026699025599,42053,45.670449700000006,-88.83758069999998
42055,69345,0.0,42055,62802,42055,42,42055,152892,149618,2.2,149618,6.1,22.9,18.2,51.0,0.039,0.3,1.1,0.1,1.8,0.05,88.1,3.5,7.2,85.3,19.3,13036,23.2,64125,73.0,15.7,177500,58273,2.54,25741,52637,11.0,3022,47802,3.5,8745,10759,0.0,0.0,0.0,0.0,1.1,27.0,3244364,0,1749971,12323,164527,356,772.22,193.7,0.0287628778650063,42055,40.015474499999996,-82.99316069999998
42057,6743,0.0,42057,6148,42057,42,42057,14632,14844,-1.4,14845,5.2,21.5,19.7,49.6,0.012,0.2,0.1,0.0,1.1,0.012,91.0,0.6,1.5,84.9,11.8,1269,33.0,7106,77.4,4.6,159300,5965,2.47,23201,48461,11.1,274,0,0.0,950,1238,0.0,0.0,0.0,0.0,0.0,25.3,0,215272,101400,6789,9922,26,437.55,33.9,0.0642732128964605,42057,33.803396500000005,-84.3962535
42059,14955,0.0,42059,13726,42059,42,42059,37843,38686,-2.2,38686,4.9,19.1,17.1,48.1,0.035,0.2,0.4,0.0,1.2,0.013999999999999999,85.2,0.6,3.5,85.1,15.5,3657,26.9,16421,73.0,10.3,89400,14417,2.36,21819,44388,14.7,756,14579,-3.7,1558,2203,0.0,0.0,0.0,0.0,0.0,24.7,0,191146,432778,10998,36814,66,575.95,67.2,0.11327571036973198,42059,39.697399,-83.88970570000001
42061,19496,0.0,42061,17587,42061,42,42061,45750,46027,-0.6,45913,4.5,18.8,18.7,46.9,0.055999999999999994,0.1,0.5,0.0,1.1,0.018000000000000002,88.1,1.1,3.2,87.7,13.5,3902,28.1,22397,76.5,8.5,115000,17193,2.37,20739,44183,12.7,821,9809,-5.4,2491,3587,0.0,0.0,0.0,0.0,0.0,24.6,0,0,363191,7977,40380,65,874.64,52.5,0.057373237786452994,42061,40.4155273,-78.0195387
42063,37728,0.0,42063,36180,42063,42,42063,87706,88891,-1.3,88880,5.0,18.3,17.1,49.9,0.028999999999999998,0.2,1.2,0.0,1.0,0.013999999999999999,81.9,1.7,5.4,87.8,21.9,7074,22.8,38618,71.6,17.8,103000,34310,2.42,22933,43997,17.7,1902,25453,-8.9,4969,6934,0.0,0.0,0.0,0.0,0.0,20.2,0,492295,1278987,14627,92360,54,827.03,107.5,0.0749176087332633,42063,40.685076200000005,-79.1096901
42065,18551,0.0,42065,17072,42065,42,42065,44638,45199,-1.2,45200,5.7,21.2,19.4,50.2,0.005,0.2,0.3,0.0,0.9,0.008,88.9,0.6,3.5,87.6,13.2,3802,21.9,22418,74.5,12.1,86800,18503,2.39,21300,41262,15.3,1159,13465,-0.9,2961,4071,0.0,0.0,0.0,0.0,0.0,24.8,953515,235389,477351,10594,32316,74,652.43,69.3,0.0636328322484124,42065,39.5800298,-105.26629309999998
42067,10402,0.0,42067,9480,42067,42,42067,24796,24640,0.6,24636,5.5,22.6,19.8,50.1,0.008,0.3,0.5,0.0,0.9,0.031,91.6,1.8,6.7,82.9,11.8,1659,29.3,11005,76.4,7.4,138200,9248,2.64,21628,46163,11.8,460,5385,3.7,1769,1879,0.0,0.0,0.0,0.0,0.0,28.8,392018,69810,197576,8560,14597,34,391.35,63.0,0.0720637746554744,42067,40.55216420000001,-77.42429720000001
